policy_id,policy_category,policy_title,policy_text
HR001,Leave Policy,Annual Leave,"Employees are eligible for 18 paid leaves per calendar year."
HR002,Leave Policy,Leave Carry Forward,"Employees can carry forward up to 5 unused annual leaves to the next calendar year."
HR003,Leave Policy,Sick Leave,"Employees are eligible for 7 sick leaves per calendar year. Sick leave should be informed to the manager as soon as possible."
HR004,Leave Policy,Leave Approval,"Planned leave must be applied at least 5 working days in advance and approved by the reporting manager."
HR005,Work From Home Policy,WFH Eligibility,"Employees may work from home up to 2 days per week with prior approval from their reporting manager."
HR006,Work From Home Policy,WFH Availability,"Employees working from home must be available on official communication channels during working hours."
HR007,Travel Policy,Domestic Travel,"Employees travelling for business must get travel approval before booking tickets."
HR008,Travel Policy,Travel Reimbursement,"Employees must submit travel reimbursement claims with valid bills within 7 days of trip completion."
HR009,Expense Policy,Meal Expenses,"Meal expenses during business travel can be claimed up to the approved daily limit with valid receipts."
HR010,Expense Policy,Internet Reimbursement,"Employees working remotely may claim internet reimbursement as per company-approved monthly limit."
HR011,Notice Period Policy,Notice Period,"Employees must serve a notice period of 60 days after resignation unless otherwise approved by HR."
HR012,Code of Conduct,Confidential Information,"Employees must not share confidential company or customer information with unauthorized persons."
HR013,Code of Conduct,Workplace Behavior,"Employees are expected to maintain professional and respectful behavior with colleagues, customers, and partners."
HR014,Medical Policy,Medical Insurance,"Employees are covered under company-provided medical insurance as per the applicable policy plan."
HR015,Medical Policy,Medical Reimbursement,"Medical reimbursement claims must be submitted with valid medical bills and prescriptions."